Env_Temp,BMP_Pressure,BMP_Altitude,Light,DHT_Humidity,MQ135_CO2,MQ135_CO,MQ135_NH3,Soil_Moisture,Soil_Temp,pH,N,P,K,district,location,season,target_crops
,,,,,,,,,,,,,,,,,Rice
35.44,856.24,729.38,,93.25,408.43,2.23,0.68,89.45,27.06,6.45,247.78,17.90,134.41,Nashik,Igatpuri (Ghat Zone),Monsoon,"Vegetables, Maize"
17.15,1116.21,64.59,81552.10,61.92,480.63,1.31,0.45,45.97,14.15,6.03,274.15,8.32,205.20,Raigad,Karjat,Winter,"Green Gram, Mango"
13.81,1011.05,456.75,75665.34,,377.07,1.02,0.99,59.22,10.07,8.03,257.68,59.79,267.71,Nashik,Baglan/Kalwan,Winter,"Onion, Grapes"
16.70,928.89,513.26,64953.53,64.31,403.60,4.55,0.52,40.14,14.50,6.97,233.79,45.23,225.05,Nashik,Baglan/Kalwan,Winter,"Onion, Bajra, Mango"
17.38,1056.92,16.72,78775.98,37.71,405.19,2.11,0.30,47.14,18.07,6.26,288.49,4.67,255.59,Raigad,Alibag/Mangaon,Winter,Coconut
16.85,753.01,590.90,94250.85,46.06,411.92,3.70,0.20,49.66,12.59,7.60,229.89,,252.39,Nashik,Niphad/Yeola,Winter,Wheat
16.67,810.60,681.48,85207.66,44.11,391.51,0.44,2.12,43.77,23.32,6.32,289.98,19.55,204.64,Nashik,Igatpuri (Ghat Zone),Winter,"Maize, Finger Millet"
24.31,,828.80,34962.12,101.01,461.07,2.84,3.39,81.35,21.27,7.31,161.65,8.42,222.24,Nashik,Igatpuri (Ghat Zone),Monsoon,"Maize, Finger Millet"
16.74,963.29,852.25,61694.26,50.25,419.05,0.26,3.05,48.82,15.04,5.81,210.83,27.13,200.53,Nashik,Igatpuri (Ghat Zone),Winter,Vegetables
16.28,931.44,55.91,75956.89,,442.02,3.87,3.76,49.24,13.67,5.36,,9.77,264.76,Raigad,Karjat,Winter,"Cashew, Coconut, Rice"
33.84,984.76,8.82,30543.57,79.38,366.07,3.60,3.98,101.74,31.47,5.67,223.86,15.41,294.50,Raigad,Alibag/Mangaon,,Mango
33.30,966.70,14.83,37027.81,86.43,410.30,0.97,0.30,107.91,31.49,6.23,247.59,10.53,181.31,Raigad,Alibag/Mangaon,Monsoon,"Cotton, Arecanut, Mango"
-7.87,991.96,583.07,,39.14,415.96,2.60,3.33,58.14,18.73,6.97,260.07,,267.68,Nashik,Baglan/Kalwan,Winter,Bajra
10.37,906.74,559.21,60839.67,46.86,393.40,,,,12.27,8.22,169.45,21.10,257.95,Nashik,Niphad/Yeola,Winter,Pomegranate
24.98,954.72,549.52,92924.73,21.30,447.36,0.81,3.33,44.34,20.80,7.14,228.23,21.05,303.06,Nashik,Niphad/Yeola,Summer,"Sugarcane, Wheat"
21.78,827.11,58.94,,47.52,409.20,5.24,0.93,51.78,18.27,5.76,292.36,5.27,219.70,Raigad,Karjat,Winter,Green Gram
,1153.90,60.41,,45.60,,2.53,,47.86,,,,,207.34,Raigad,,Winter,"Rice, Mango, Vari"
26.70,878.68,13.35,67017.36,42.49,,0.83,1.46,39.13,21.38,5.82,-52.18,11.62,249.12,Raigad,Alibag/Mangaon,Winter,Rice
43.21,1034.32,539.11,39902.66,72.24,472.13,2.69,1.96,95.94,39.52,7.66,215.59,41.13,226.18,Nashik,Baglan/Kalwan,Monsoon,Groundnut
15.39,934.21,516.20,,51.12,446.98,5.05,1.76,53.10,13.76,,236.94,64.08,,Nashik,Baglan/Kalwan,Winter,"Bajra, Mango"
42.55,986.86,617.25,25434.09,73.96,433.63,4.09,1.63,88.38,36.89,7.25,270.33,19.79,258.83,Nashik,Niphad/Yeola,Monsoon,"Onion, Grapes, Tomato"
20.25,972.29,15.79,,53.77,415.74,1.20,1.11,34.91,15.27,5.45,304.25,7.69,231.80,,Alibag/Mangaon,Winter,"Coconut, Rice, Mango"
20.91,903.15,559.65,68853.42,62.42,487.93,1.19,2.46,56.59,16.79,7.57,241.24,28.99,262.75,Nashik,Niphad/Yeola,Winter,"Pomegranate, Grapes"
20.02,962.05,539.53,74402.67,45.89,456.38,3.78,2.68,57.02,18.33,8.17,249.46,34.73,269.88,Nashik,Niphad/Yeola,Winter,Onion
19.39,965.88,530.58,67872.59,53.54,401.71,1.81,4.37,57.03,22.70,7.06,215.91,50.08,,Nashik,Baglan/Kalwan,,Groundnut
,943.09,,76599.51,37.74,414.89,2.05,1.33,49.51,12.28,,285.58,18.23,188.47,Nashik,Igatpuri (Ghat Zone),Winter,"Maize, Rice"
11.84,1016.75,619.90,64286.94,59.20,397.95,1.16,2.28,54.10,11.41,7.29,194.68,20.62,254.56,Nashik,Niphad/Yeola,Winter,"Onion, Pomegranate"
42.89,890.98,583.49,44332.80,73.60,459.95,2.24,1.72,83.36,45.37,8.16,253.13,26.16,277.45,Nashik,Niphad/Yeola,Monsoon,Pomegranate
26.12,970.04,50.56,91186.03,40.94,465.82,2.18,4.08,12.42,26.97,4.96,228.90,6.41,230.86,Raigad,Karjat,Summer,"Ragi, Green Gram"
12.98,934.40,824.42,100540.64,50.08,388.41,2.99,2.01,64.18,11.78,5.71,263.85,14.83,158.43,Nashik,Igatpuri (Ghat Zone),Winter,Vegetables
23.99,1038.55,65.39,95167.09,31.87,426.49,2.95,,13.95,23.45,6.78,244.00,7.56,242.59,Raigad,Karjat,Summer,Coconut
20.77,970.59,49.00,84426.19,59.63,398.20,2.86,,41.11,18.56,5.25,260.38,5.66,190.55,Raigad,Karjat,Winter,"Cashew, Coconut"
34.75,1021.06,11.90,16616.29,79.26,426.11,1.02,0.37,91.88,35.18,6.10,299.29,15.05,221.46,Raigad,Alibag/Mangaon,Monsoon,"Banana, Mango"
25.73,840.52,517.71,99220.26,34.96,409.92,1.29,3.88,37.65,23.34,7.66,229.61,26.09,,Nashik,Niphad/Yeola,Summer,"Pomegranate, Tomato, Wheat"
17.32,993.00,812.91,54559.56,60.71,449.10,0.45,1.40,62.39,13.56,6.21,213.71,12.83,165.58,Nashik,Igatpuri (Ghat Zone),Winter,Rice
23.36,924.38,56.92,97414.75,20.50,456.34,2.84,0.65,11.68,22.82,5.00,,4.48,247.71,Raigad,Karjat,Summer,Ragi
12.96,950.10,910.21,91135.24,51.47,430.76,0.97,0.72,51.99,10.39,6.64,220.47,24.45,212.28,,Igatpuri (Ghat Zone),Winter,"Rice, Finger Millet"
14.19,,611.98,84959.64,48.99,401.54,3.55,2.27,65.49,9.71,,,38.61,301.90,Nashik,Baglan/Kalwan,Winter,Grapes
18.41,924.81,508.96,73660.27,62.55,430.94,0.36,2.99,65.83,15.12,6.93,227.55,38.74,245.84,Nashik,Baglan/Kalwan,Winter,"Groundnut, Grapes, Bajra"
,,,,,,,,,,,,,,,,,"Arecanut, Rice, Mango"
40.11,882.71,,85437.02,24.48,411.89,4.42,3.65,18.68,38.14,6.12,244.77,8.28,216.65,,Karjat,Summer,"Green Gram, Coconut, Cashew"
28.01,1000.49,579.15,46696.26,91.97,433.43,2.33,2.21,85.12,26.92,6.56,222.22,33.27,221.18,Nashik,Baglan/Kalwan,Monsoon,"Soybean, Bajra"
32.49,1038.21,61.61,114510.03,22.00,479.05,,1.40,17.74,25.43,6.30,283.00,7.47,209.90,Raigad,Karjat,Summer,"Cashew, Mango"
15.23,,66.19,67783.79,,422.36,,3.56,28.43,12.75,5.23,289.74,9.48,215.82,,Karjat,Winter,"Ragi, Vari"
27.09,1091.98,6.02,108533.00,35.00,377.74,1.19,1.44,22.80,21.01,5.11,317.91,12.25,213.47,Raigad,Alibag/Mangaon,Summer,Arecanut
45.89,,533.83,49930.40,,415.14,3.23,2.95,96.44,42.45,6.76,,25.41,291.52,Nashik,Niphad/Yeola,Monsoon,Grapes
26.66,1127.53,,15367.69,92.09,416.46,2.09,1.64,80.42,,5.70,249.13,5.91,,Raigad,Karjat,Monsoon,Coconut
25.84,1044.00,533.60,116294.08,36.53,381.83,1.91,2.69,53.70,22.32,8.38,200.09,51.09,266.49,Nashik,Baglan/Kalwan,Summer,"Maize, Grapes, Mango"
30.72,953.05,12.73,40628.13,93.10,403.25,,,97.22,25.35,5.83,303.80,10.15,213.95,Raigad,Alibag/Mangaon,Monsoon,"Cashew, Sugarcane"
,940.58,50.70,44668.96,84.78,403.36,0.30,1.74,89.51,32.34,5.19,272.33,,201.44,Raigad,Karjat,Monsoon,"Green Gram, Rice, Coconut"
15.43,999.15,594.73,59510.06,43.83,473.84,3.38,0.53,57.56,11.52,7.13,235.28,47.16,309.80,Nashik,Baglan/Kalwan,Winter,Grapes
40.36,1006.21,51.56,18260.41,90.76,,1.69,2.65,100.78,36.52,,320.66,8.65,,Raigad,Karjat,Monsoon,"Cashew, Mango"
38.92,955.41,642.68,17153.57,75.79,363.88,0.99,2.45,80.57,34.99,6.79,247.02,20.31,247.40,Nashik,Igatpuri (Ghat Zone),Monsoon,Vegetables
19.05,977.92,553.29,64080.89,56.48,408.74,1.81,3.56,54.71,16.54,7.20,221.37,29.65,271.74,Nashik,Niphad/Yeola,Winter,Sugarcane
39.91,949.32,51.28,55732.68,107.98,463.67,2.16,2.70,88.47,37.81,5.44,291.53,7.84,256.22,Raigad,Karjat,,"Ragi, Cashew, Mango"
18.02,855.23,592.54,68430.17,48.50,455.32,1.82,2.08,58.49,14.98,8.41,226.94,22.54,296.79,Nashik,Niphad/Yeola,Winter,Sugarcane
36.04,1012.54,56.89,91538.66,44.60,373.61,1.06,2.00,22.69,33.89,6.19,207.04,12.59,231.82,Raigad,Karjat,Summer,Mango
36.47,1005.64,795.52,33627.87,92.82,423.73,4.76,2.46,82.50,33.20,6.30,,12.33,146.13,Nashik,,Monsoon,"Cotton, Rice"
36.53,994.02,10.33,48667.09,96.24,,0.26,0.52,87.18,29.71,6.37,288.69,10.05,260.15,Raigad,Alibag/Mangaon,Monsoon,Coconut
33.77,1033.67,56.13,,81.00,386.65,4.48,1.26,88.49,,4.68,295.96,10.50,251.52,Raigad,Karjat,Monsoon,Coconut
26.78,1038.90,63.19,28516.84,88.38,426.91,4.29,1.26,85.87,24.20,5.29,210.44,7.30,206.18,Raigad,Karjat,Monsoon,Cashew
35.43,965.46,6.77,21652.33,92.36,421.78,3.56,0.24,88.52,35.54,6.09,306.35,,242.54,Raigad,Alibag/Mangaon,Monsoon,"Cashew, Coconut, Arecanut"
22.97,1185.94,55.47,100181.20,36.51,435.14,,0.50,17.01,21.32,5.70,,10.59,212.23,Raigad,Karjat,Summer,"Ragi, Coconut, Soybean, Vari"
26.42,1080.56,65.48,116541.54,26.91,,1.34,0.47,25.89,24.68,6.38,265.76,6.21,245.57,Raigad,Karjat,Summer,"Green Gram, Vegetables"
23.43,976.21,585.01,84836.29,,434.13,1.13,0.23,46.64,18.94,7.66,195.13,39.26,,Nashik,Baglan/Kalwan,Winter,Groundnut
33.92,1012.40,,40092.33,97.20,447.89,4.88,0.45,84.90,32.23,6.18,244.01,11.92,213.14,Nashik,Igatpuri (Ghat Zone),Monsoon,Maize
25.23,1009.80,595.64,110591.86,29.30,424.10,1.75,1.82,46.77,21.90,,202.50,25.93,228.90,Nashik,Niphad/Yeola,Summer,"Sugarcane, Grapes, Wheat"
15.54,1066.44,583.22,79071.81,53.04,472.30,4.26,3.42,58.96,12.31,7.20,177.82,38.23,,Nashik,Baglan/Kalwan,Winter,"Bajra, Tomato"
14.49,881.56,818.91,64488.73,53.64,412.02,2.65,2.23,,11.31,6.50,279.11,15.79,163.17,Nashik,Igatpuri (Ghat Zone),Winter,Maize
13.60,1066.76,841.05,71029.54,58.46,435.92,2.99,1.26,,13.40,5.98,281.81,21.62,191.05,Nashik,Igatpuri (Ghat Zone),Winter,"Maize, Finger Millet"
,913.05,537.02,76535.41,65.68,447.97,1.90,1.67,50.11,10.73,8.16,,28.80,226.61,Nashik,Baglan/Kalwan,Winter,"Onion, Bajra"
14.02,979.46,539.55,71899.69,56.31,432.04,0.24,1.83,49.77,13.38,8.16,208.13,16.82,274.11,Nashik,Niphad/Yeola,Winter,Wheat
20.96,1071.50,,68065.89,39.19,456.76,4.38,0.84,46.28,15.39,6.20,263.80,6.95,200.98,Raigad,Karjat,Winter,Cashew
37.11,1001.88,943.76,33911.42,,426.13,3.26,1.16,82.54,35.41,6.66,259.54,12.11,145.05,Nashik,Igatpuri (Ghat Zone),Monsoon,Vegetables
18.93,873.73,629.27,416012.56,57.44,405.40,2.06,3.57,70.56,19.70,5.90,213.28,13.20,167.94,Nashik,Igatpuri (Ghat Zone),Winter,"Vegetables, Rice"
16.25,885.40,637.71,68669.56,65.05,424.00,4.35,3.66,61.05,13.17,7.79,190.65,11.48,336.06,Nashik,Niphad/Yeola,Winter,Sugarcane
18.89,1066.69,704.32,101750.32,47.75,412.91,4.78,1.95,54.11,20.92,6.33,222.83,5.69,,Nashik,Igatpuri (Ghat Zone),Summer,"Rice, Finger Millet"
38.50,1130.78,48.39,38929.52,87.51,450.83,4.15,3.38,77.25,38.00,5.43,274.71,5.87,234.75,Raigad,Karjat,Monsoon,"Coconut, Soybean, Rice"
33.95,,68.78,105315.20,32.55,414.21,0.19,1.30,11.08,33.44,6.32,218.97,6.52,207.94,Raigad,Karjat,Summer,"Coconut, Mango"
28.51,851.02,462.24,34368.78,80.09,425.73,0.61,4.07,82.76,25.29,7.41,249.98,51.46,289.81,Nashik,Baglan/Kalwan,Monsoon,"Groundnut, Maize, Mango"
45.59,933.76,600.88,43946.56,77.04,,2.52,3.31,83.99,38.89,7.69,257.45,19.39,291.55,Nashik,Niphad/Yeola,Monsoon,Pomegranate
40.00,881.03,544.00,22204.28,80.72,1419.92,1.95,1.03,93.12,35.84,6.23,209.05,40.36,234.42,Nashik,Baglan/Kalwan,Monsoon,"Groundnut, Bajra"
13.20,914.04,526.65,66642.86,,,0.68,1.30,52.42,11.67,7.17,208.69,24.92,276.77,Nashik,Niphad/Yeola,Winter,Pomegranate
22.00,993.19,50.24,84437.46,44.54,403.98,0.23,1.66,35.86,19.02,6.22,275.89,10.63,197.61,Raigad,Karjat,Winter,"Coconut, Mango, Vari"
13.59,935.91,498.09,57552.47,46.00,432.17,2.52,1.66,47.59,9.13,7.23,215.38,24.37,304.39,Nashik,Niphad/Yeola,Winter,Tomato
38.15,965.98,,45850.03,,375.66,4.86,1.02,85.06,35.44,6.58,266.69,5.60,250.63,Raigad,Alibag/Mangaon,Monsoon,Rice
13.05,1020.92,595.91,89642.97,41.58,480.52,2.14,,,10.15,6.43,207.31,16.09,168.24,Nashik,Igatpuri (Ghat Zone),Winter,Finger Millet
44.99,931.86,545.80,36321.06,79.70,406.90,1.67,1.44,100.59,40.16,6.74,203.13,16.30,258.62,Nashik,Niphad/Yeola,Monsoon,"Sugarcane, Soybean, Wheat"
12.20,1006.60,904.64,78782.95,48.35,388.02,2.03,1.95,52.31,8.63,6.25,277.56,14.10,187.61,Nashik,Igatpuri (Ghat Zone),,"Rice, Finger Millet"
43.28,958.51,702.35,24706.14,108.75,402.30,3.82,4.16,102.59,34.05,6.36,213.09,14.98,223.06,Nashik,Igatpuri (Ghat Zone),Monsoon,"Maize, Rice"
,842.05,931.41,89009.07,39.64,396.84,1.83,1.90,61.35,12.71,6.63,201.62,16.85,202.92,Nashik,Igatpuri (Ghat Zone),Winter,"Vegetables, Maize"
11.03,955.35,561.78,67514.25,42.07,403.87,0.78,0.26,56.40,9.85,7.60,244.70,19.06,268.99,Nashik,Niphad/Yeola,Winter,Pomegranate
28.09,1047.42,615.33,111817.98,32.33,377.24,1.19,3.42,44.31,,6.92,279.25,21.60,271.56,Nashik,Niphad/Yeola,Summer,"Onion, Pomegranate"
28.42,936.12,610.28,96039.76,42.32,386.59,1.62,1.79,49.81,29.45,6.97,270.88,52.31,255.45,,Baglan/Kalwan,Summer,Maize
24.39,991.49,12.46,109940.34,20.96,,3.05,,20.55,25.48,5.96,,10.19,221.02,,Alibag/Mangaon,Summer,"Arecanut, Rice"
28.50,947.56,47.62,41535.23,78.79,,0.70,0.93,87.61,30.74,5.68,281.96,8.23,193.35,Raigad,Karjat,Monsoon,"Cashew, Green Gram, Banana"
15.64,981.95,535.72,73778.34,59.10,428.25,4.26,2.54,,14.22,7.05,154.21,20.65,328.11,Nashik,,Winter,Onion
31.24,947.98,,42910.75,95.53,371.98,1.47,1.17,88.76,35.07,6.32,263.47,10.60,198.73,Nashik,Igatpuri (Ghat Zone),,"Rice, Finger Millet"
17.16,1078.93,12.31,74387.29,49.73,420.60,0.86,0.60,56.56,17.49,6.02,242.58,14.53,243.12,Raigad,Alibag/Mangaon,Winter,"Cashew, Coconut, Mango"
35.78,,63.40,51699.86,94.06,417.42,1.90,3.52,83.43,34.13,5.58,240.54,8.02,259.32,Raigad,Karjat,Monsoon,"Groundnut, Coconut, Vari"
18.51,865.73,555.68,80888.84,51.76,403.92,2.94,1.81,72.73,14.44,7.34,191.59,46.68,226.53,Nashik,Baglan/Kalwan,Winter,Bajra
36.99,902.93,617.46,98465.82,22.76,379.39,1.41,2.85,54.37,29.90,,180.93,53.39,239.23,,Baglan/Kalwan,Summer,Mango
30.43,962.83,10.03,21181.77,95.80,364.27,3.48,1.65,98.68,33.78,5.30,313.46,9.36,237.33,Raigad,Alibag/Mangaon,Monsoon,Mango
36.73,1046.07,14.21,18475.54,88.75,415.50,,2.68,90.81,35.29,6.61,269.75,10.95,257.99,Raigad,Alibag/Mangaon,Monsoon,Banana
30.78,1014.19,744.50,19061.89,97.93,420.98,0.88,0.91,105.90,31.95,6.97,290.04,18.27,138.53,Nashik,Igatpuri (Ghat Zone),Monsoon,Vegetables
43.68,962.84,572.42,37869.17,82.57,,1.41,2.98,89.41,39.88,7.00,,28.53,225.96,Nashik,Niphad/Yeola,Monsoon,Tomato
35.81,1017.01,686.35,40469.50,90.90,390.66,3.14,3.80,,26.83,6.74,278.05,16.55,181.46,Nashik,Igatpuri (Ghat Zone),Monsoon,Finger Millet
21.66,1137.08,12.32,69023.71,66.74,422.30,2.03,1.54,36.48,18.63,6.02,368.22,10.16,238.84,Raigad,Alibag/Mangaon,Winter,"Coconut, Arecanut"
17.19,876.30,47.69,81240.97,49.31,362.81,0.36,2.39,56.73,17.39,5.83,287.79,7.79,222.35,Raigad,Karjat,Winter,"Mango, Vari"
18.30,969.33,686.52,84942.17,52.47,372.42,5.20,1.72,46.18,13.67,6.52,219.06,16.83,205.46,Nashik,Igatpuri (Ghat Zone),,Rice
16.94,965.07,,67116.04,46.73,436.11,4.79,2.58,49.64,13.13,7.43,176.95,23.08,284.30,Nashik,Niphad/Yeola,Winter,Onion
40.08,914.43,539.14,24530.42,81.65,,0.54,3.42,83.20,27.91,6.72,194.67,24.35,287.75,Nashik,Niphad/Yeola,Monsoon,Tomato
33.17,957.04,14.14,28675.86,94.56,384.05,2.38,1.07,,30.11,5.69,343.26,12.90,197.41,,Alibag/Mangaon,Monsoon,Rice
,,,,,441.10,,0.33,,26.88,,259.35,,267.00,Raigad,Alibag/Mangaon,Monsoon,Arecanut
37.72,997.41,55.24,42597.30,94.07,396.02,,3.59,89.68,31.79,5.37,300.16,6.29,253.69,Raigad,Karjat,Monsoon,"Cotton, Rice"
34.74,960.20,656.72,44153.71,88.00,376.49,0.71,0.50,91.45,,6.41,279.34,19.85,228.99,Nashik,Igatpuri (Ghat Zone),Monsoon,"Vegetables, Finger Millet"
,936.56,51.41,30911.13,82.49,411.93,2.91,0.38,80.09,40.32,5.57,286.42,9.09,210.74,,Karjat,Monsoon,Ragi
38.11,1170.23,65.28,37958.28,85.18,372.22,2.70,0.52,81.95,32.22,5.74,290.67,4.83,243.47,Raigad,Karjat,Monsoon,Rice
22.94,950.96,605.15,92007.92,28.04,390.84,4.10,3.80,48.54,22.12,6.91,282.06,30.01,267.82,Nashik,Niphad/Yeola,Summer,"Onion, Pomegranate, Grapes"
14.12,985.88,531.77,63414.13,53.69,442.64,0.36,2.95,62.17,8.98,7.42,182.28,43.16,262.11,Nashik,Baglan/Kalwan,Winter,"Groundnut, Maize, Grapes"
16.81,892.73,648.39,85179.09,,469.06,0.74,4.16,47.28,14.88,7.29,188.62,46.91,248.97,Nashik,Baglan/Kalwan,Winter,Onion
15.43,850.84,63.36,67988.82,51.19,392.74,0.95,0.67,43.52,14.39,6.36,296.60,8.66,256.01,Raigad,Karjat,Winter,Vari
24.12,906.53,13.52,105866.49,34.38,407.80,4.26,3.05,26.85,20.06,6.04,285.88,,211.80,Raigad,Alibag/Mangaon,Summer,"Cashew, Banana"
34.56,896.85,792.23,645542.07,102.92,,0.99,2.59,97.39,33.31,5.70,256.32,20.89,219.65,Nashik,Igatpuri (Ghat Zone),Monsoon,"Rice, Tomato"
17.14,1037.40,589.67,102587.69,41.30,461.15,2.62,4.17,59.43,17.59,8.10,228.48,9.99,231.71,Nashik,Niphad/Yeola,Summer,"Onion, Grapes"
16.13,961.19,,72091.01,36.29,358.66,2.68,3.88,53.50,15.12,6.32,167.15,19.25,226.41,Nashik,Baglan/Kalwan,Winter,Groundnut
34.29,930.22,761.47,20188.58,82.13,402.47,0.48,0.19,83.49,30.61,6.07,226.81,12.04,191.51,Nashik,Igatpuri (Ghat Zone),Monsoon,"Vegetables, Rice, Finger Millet"
24.20,951.97,744.14,68876.82,57.06,446.31,2.25,2.45,65.95,22.45,5.39,200.25,24.37,159.77,Nashik,Igatpuri (Ghat Zone),Winter,"Groundnut, Rice"
39.29,1061.64,7.10,117922.05,42.99,425.25,3.74,1.10,23.40,,5.25,,12.97,190.97,Raigad,Alibag/Mangaon,Summer,"Rice, Mango"
41.54,970.75,795.09,50457.37,97.63,358.29,3.86,2.17,99.53,35.17,6.63,272.76,12.21,201.72,Nashik,Igatpuri (Ghat Zone),Monsoon,"Maize, Finger Millet"
31.24,950.44,574.35,110454.11,18.10,411.56,1.47,2.94,42.81,26.61,6.80,172.83,,285.18,Nashik,Baglan/Kalwan,Summer,Soybean
29.98,1094.76,52.02,21471.13,103.97,,4.22,3.50,89.50,22.50,4.49,276.91,12.25,240.65,Raigad,Karjat,Monsoon,Vari
25.00,949.68,59.27,16553.43,85.80,392.07,3.40,1.68,89.27,19.87,5.55,293.73,,190.71,Raigad,Karjat,Monsoon,Cashew
27.85,952.20,,32585.75,83.55,407.29,2.22,2.24,94.04,21.81,6.00,265.98,14.81,177.09,Nashik,Igatpuri (Ghat Zone),Monsoon,"Rice, Finger Millet"
14.48,892.17,756.47,87298.24,,433.02,3.32,0.47,51.97,11.22,7.16,283.78,53.41,207.74,Nashik,Baglan/Kalwan,Winter,"Soybean, Grapes"
34.66,,599.81,103745.23,21.82,425.84,4.77,1.32,45.03,30.99,7.06,237.91,13.72,275.72,,Niphad/Yeola,Summer,"Grapes, Wheat"
,1047.72,600.72,,39.19,363.55,3.88,0.13,39.64,11.90,,248.24,27.19,299.98,Nashik,Niphad/Yeola,Winter,"Onion, Pomegranate"
22.12,945.33,56.63,71766.19,60.00,430.93,1.33,2.56,48.01,22.57,5.48,229.75,5.39,186.72,Raigad,Karjat,Winter,"Sugarcane, Coconut"
18.13,993.80,8.30,68158.49,42.43,422.03,3.39,3.57,,17.13,5.88,289.69,12.02,,Raigad,Alibag/Mangaon,Winter,"Cashew, Arecanut"
14.56,942.83,608.26,80064.23,41.15,373.95,4.04,2.39,50.13,12.71,7.75,265.51,27.00,284.56,Nashik,Niphad/Yeola,Winter,"Onion, Vegetables"
16.08,974.04,490.72,61737.96,63.53,386.77,3.42,3.54,46.80,14.69,7.85,176.77,49.84,242.23,Nashik,Baglan/Kalwan,Winter,Maize
17.00,1132.33,10.40,60447.71,50.53,441.40,4.07,,53.23,18.37,5.49,291.87,9.29,226.29,Raigad,Alibag/Mangaon,Winter,"Banana, Mango"
34.90,1139.65,60.35,22397.70,96.34,466.01,1.94,2.47,99.12,36.53,5.80,285.76,6.56,234.35,Raigad,Karjat,Monsoon,Ragi
27.43,1036.33,62.03,107789.74,43.44,379.42,1.69,1.89,18.48,27.73,5.26,224.81,10.22,,Raigad,Karjat,Summer,"Coconut, Rice, Vari"
34.35,959.35,801.53,40784.22,100.41,399.69,0.36,1.00,100.52,33.47,6.15,232.49,12.81,247.17,Nashik,Igatpuri (Ghat Zone),Monsoon,Vegetables
13.17,904.33,610.61,90779.35,43.73,399.66,0.62,,45.09,9.19,8.54,236.75,24.81,269.04,Nashik,Niphad/Yeola,Winter,Wheat
37.80,980.28,11.24,93070.16,32.97,404.65,1.58,0.17,10.55,33.10,6.66,254.82,7.04,256.10,Raigad,Alibag/Mangaon,,"Arecanut, Rice"
38.95,984.61,615.43,96894.83,36.52,433.36,,1.41,45.12,36.47,7.86,260.44,25.39,308.76,Nashik,Niphad/Yeola,Summer,Grapes
45.77,906.88,549.66,45321.29,87.15,382.57,4.92,1.63,90.85,39.50,6.74,269.02,28.45,271.58,Nashik,Niphad/Yeola,Monsoon,"Sugarcane, Tomato, Wheat"
26.99,869.83,565.85,101058.15,25.42,399.38,1.99,1.12,53.45,23.37,8.57,239.52,30.47,280.38,Nashik,,Summer,Sugarcane
40.50,956.00,552.57,23616.31,69.45,,1.88,0.18,96.61,40.24,6.55,190.57,51.24,254.85,Nashik,Baglan/Kalwan,Monsoon,"Groundnut, Mango"
16.73,916.15,547.41,65682.70,66.42,387.61,0.44,0.12,63.68,12.20,8.45,262.64,22.94,217.47,Nashik,Niphad/Yeola,Winter,"Sugarcane, Wheat"
35.12,1072.98,50.35,35567.91,89.64,374.25,4.07,2.09,93.76,36.43,5.83,245.81,7.71,248.10,Raigad,Karjat,Monsoon,"Cashew, Ragi"
35.92,,777.49,16650.17,94.69,403.09,0.98,2.69,88.71,35.13,7.23,213.20,17.71,222.95,Nashik,Igatpuri (Ghat Zone),Monsoon,Maize
18.42,960.33,62.54,70270.80,40.01,419.89,4.25,3.57,32.03,15.26,4.97,269.84,,231.12,Raigad,Karjat,Winter,"Coconut, Vari"
41.82,777.01,558.43,36978.79,88.86,387.79,,1.67,,32.41,7.82,245.79,37.05,302.72,Nashik,Niphad/Yeola,Monsoon,Sugarcane
37.40,1005.07,843.38,33229.51,87.29,405.64,4.70,3.75,87.54,35.01,7.67,245.61,20.82,198.64,Nashik,Igatpuri (Ghat Zone),Monsoon,Finger Millet
41.00,964.46,524.83,24391.36,79.50,406.44,4.20,1.69,98.88,35.28,7.33,169.24,33.98,246.67,Nashik,Baglan/Kalwan,Monsoon,"Onion, Grapes"
13.36,995.15,463.20,89979.08,46.90,404.27,4.14,1.37,70.86,12.05,7.82,222.02,28.10,315.15,Nashik,Niphad/Yeola,Winter,"Sugarcane, Pomegranate"
16.62,,58.17,,,,2.65,,38.20,15.45,,,,224.51,Raigad,,,Coconut
38.17,856.17,615.43,42173.29,80.36,407.08,4.67,0.33,91.39,40.57,6.95,221.78,54.26,254.65,Nashik,Baglan/Kalwan,Monsoon,Mango
19.19,895.11,8.81,76862.20,47.80,438.38,0.99,3.46,32.62,14.52,,308.20,9.84,270.44,Raigad,Alibag/Mangaon,Winter,Coconut
11.23,1083.08,674.12,79981.59,64.00,411.92,1.97,2.18,52.58,10.45,6.39,,16.48,183.10,Nashik,Igatpuri (Ghat Zone),Winter,"Vegetables, Rice, Maize"
37.31,1033.95,66.03,122270.35,19.59,416.78,,1.05,15.01,32.46,5.30,292.41,7.64,218.73,Raigad,Karjat,Summer,"Green Gram, Coconut"
41.49,1025.87,594.36,48612.17,80.35,420.91,4.19,0.17,89.51,42.37,6.88,216.33,,300.47,Nashik,Niphad/Yeola,Monsoon,"Sugarcane, Tomato"
20.70,1098.06,53.44,101968.57,48.28,406.55,1.45,1.18,39.89,15.29,5.92,273.14,7.37,204.89,Raigad,Karjat,Winter,"Ragi, Coconut, Sugarcane, Mango"
